"","book","director","imdb_rating","book_chapt","true_chapt","series_rating"
"1","Water","Dave Filoni",8.1,1,0,8.33699134199134
"2","Water","Dave Filoni",8.3,2,1,8.33699134199134
"3","Water","Lauren MacMullan",8.5,3,2,8.33699134199134
"4","Water","Giancarlo Volpe",8.2,4,3,8.33699134199134
"5","Water","Anthony Lioi",8.2,5,4,8.33699134199134
"6","Water","Dave Filoni",8,6,5,8.33699134199134
"7","Water","Lauren MacMullan",8.2,7,6,8.33699134199134
"8","Water","Giancarlo Volpe",8.9,8,7,8.33699134199134
"9","Water","Anthony Lioi",8,9,8,8.33699134199134
"10","Water","Dave Filoni",7.8,10,9,8.33699134199134
"11","Water","Giancarlo Volpe",7.1,11,10,8.33699134199134
"12","Water","Lauren MacMullan",9.1,12,11,8.33699134199134
"13","Water","Dave Filoni",9.1,13,12,8.33699134199134
"14","Water","Dave Filoni",7.9,14,13,8.33699134199134
"15","Water","Giancarlo Volpe",7.9,15,14,8.33699134199134
"16","Water","Lauren MacMullan",8.5,16,15,8.33699134199134
"17","Water","Dave Filoni",8.1,17,16,8.33699134199134
"18","Water","Giancarlo Volpe",8.6,18,17,8.33699134199134
"19","Water","Lauren MacMullan",9.4,19,18,8.33699134199134
"20","Water","Dave Filoni",9.7,20,19,8.33699134199134
"21","Earth","Giancarlo Volpe",8.7,22,21,8.73007706255666
"22","Earth","Lauren MacMullan",8.2,23,22,8.73007706255666
"23","Earth","Ethan Spaulding",8.4,24,23,8.73007706255666
"24","Earth","Giancarlo Volpe",7.7,25,24,8.73007706255666
"25","Earth","Lauren MacMullan",7.5,26,25,8.73007706255666
"26","Earth","Ethan Spaulding",9.2,27,26,8.73007706255666
"27","Earth","Lauren MacMullan",9.5,28,27,8.73007706255666
"28","Earth","Giancarlo Volpe",9,29,28,8.73007706255666
"29","Earth","Ethan Spaulding",8.6,30,29,8.73007706255666
"30","Earth","Giancarlo Volpe",8.8,31,30,8.73007706255666
"31","Earth","Lauren MacMullan",8.8,32,31,8.73007706255666
"32","Earth","Ethan Spaulding",8.4,33,32,8.73007706255666
"33","Earth","Giancarlo Volpe",9,34,33,8.73007706255666
"34","Earth","Lauren MacMullan",8.7,35,34,8.73007706255666
"35","Earth","Ethan Spaulding",9.2,36,35,8.73007706255666
"36","Earth","Giancarlo Volpe",8.8,37,36,8.73007706255666
"37","Earth","Lauren MacMullan",9.1,38,37,8.73007706255666
"38","Earth","Ethan Spaulding",8.6,39,38,8.73007706255666
"39","Earth","Giancarlo Volpe",9.1,40,39,8.73007706255666
"40","Earth","Michael Dante DiMartino",9.6,41,40,8.73007706255666
"41","Fire","Giancarlo Volpe",8.7,43,42,8.86237077877326
"42","Fire","Joaquim Dos Santos",8.4,44,43,8.86237077877326
"43","Fire","Ethan Spaulding",8,45,44,8.86237077877326
"44","Fire","Giancarlo Volpe",8.8,46,45,8.86237077877326
"45","Fire","Joaquim Dos Santos",8.5,47,46,8.86237077877326
"46","Fire","Ethan Spaulding",9.5,48,47,8.86237077877326
"47","Fire","Giancarlo Volpe",8.2,49,48,8.86237077877326
"48","Fire","Joaquim Dos Santos",9.1,50,49,8.86237077877326
"49","Fire","Ethan Spaulding",7.8,51,50,8.86237077877326
"50","Fire","Giancarlo Volpe",9.1,52,51,8.86237077877326
"51","Fire","Joaquim Dos Santos",9.4,53,52,8.86237077877326
"52","Fire","Ethan Spaulding",8.9,54,53,8.86237077877326
"53","Fire","Giancarlo Volpe",9.2,55,54,8.86237077877326
"54","Fire","Joaquim Dos Santos",8.7,56,55,8.86237077877326
"55","Fire","Ethan Spaulding",9.2,57,56,8.86237077877326
"56","Fire","Joaquim Dos Santos",8.9,58,57,8.86237077877326
"57","Fire","Giancarlo Volpe",8.6,59,58,8.86237077877326
"58","Fire","Ethan Spaulding",9.1,60,59,8.86237077877326
"59","Fire","Giancarlo Volpe",9.5,61,60,8.86237077877326
"60","Fire","Joaquim Dos Santos",9.8,62,61,8.86237077877326
"61","Fire","Joaquim Dos Santos",9.8,63,64,8.86237077877326
