"","id","scene_description"
"1",3,"[Close-up of the boy as he grins confidently over his shoulder in the direction of the girl.]"
"2",5,"[Happily surprised.]"
"3",6,"[Close-up of Sokka; whispering.]"
"4",6,"[A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.]"
"5",8,"[Struggling with the water that passes right in front of her.]"
"6",10,"[Exclaims indignantly.]"
"7",14,"[Cut to her face; she sighs lightly before answering in slight annoyance.]"
"8",15,"[Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.]"
"9",16,"[Cut to her face as she raises an eyebrow skeptically, arms still crossed.]"
"10",20,"[A touch of bitterness in her voice.]"
"11",21,"[He waves his hands, mockingly imitating waterbending.]"
"12",23,"[Indignantly.]"
"13",24,"[Annoyed.]"
"14",24,"[Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.]"
"15",26,"[She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.]"
"16",26,"[Hands raised back to her head.]"
"17",26,"[Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.]"
"18",26,"[Throwing a hand upward, a short jet of water shoots upward as well.]"
"19",28,"[Points to herself.]"
"20",30,"[Pointing to the iceberg behind her, his voice subdued by fright.]"
"21",31,"[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.]"
"22",33,"[In a screeching voice, his eyes open wide in fear.]"
"23",36,"[He releases her.]"
"24",37,"[Astonished.]"
"25",38,"[Sarcastically, glancing at her and smirking.]"
"26",38,"[Nudging her with his elbow.]"
"27",42,"[He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.]"
"28",44,"[He turns around to face another person in uniform, who sits at a small table.]"
"29",45,"[The man is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.]"
"30",46,"[Turning around again to face the light.]"
"31",48,"[Gestures at the light while facing his uncle again.]"
"32",48,"[The light dwindles and disappears.]"
"33",49,"[With continuing disinterest and an air of skepticism.]"
"34",49,"[He looks at the tile in his hand, depicting the symbol of airbending.]"
"35",49,"[He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.]"
"36",50,"[Furiously, still facing Iroh.]"
"37",52,"[Brandishing his spear in defense once again.]"
"38",54,"[Waves the spear away. Annoyed.]"
"39",56,"[In a weak voice.]"
"40",59,"[Curiously.]"
"41",60,"[In a clear, happy, hopeful tone.]"
"42",61,"[Awkwardly.]"
"43",63,"[Looking around and rubbing his head, while Katara scrambles on her feet.]"
"44",64,"[Aggressively.]"
"45",64,"[Points at the top of the crater.]"
"46",64,"[He pokes the boy in his side with his spear.]"
